Course,,Title,ACP,CS,,HUM,NAT,QR,SBS
AAS 100,,Intro Asian American Studies,,US,,,,,SS
AAS 105,,Introduction to Arab American Studies,,US,,,,,
AAS 120,,Intro to Asian Am Pop Culture,,US,,,,,
AAS 200,,U.S. Race and Empire,,US,,HP,,,
AAS 201,,US Racial & Ethnic Politics,,US,,,,,SS
AAS 211,,Asian Americans and the Arts,,US,,LA,,,
AAS 215,,US Citizenship Comparatively,,US,,HP,,,
AAS 246,,Asian American Youth in Film,,US,,,,,SS
AAS 258,,Muslims in America,,US,,,,,SS
AAS 260,,Intro Asian American Theatre,,US,,,,,
AAS 265,,Politics of Hip Hop,,US,,,,,
AAS 275,,The Politics of Fashion,,US,,,,,
AAS 281,,Constructing Race in America,,US,,HP,,,
AAS 282,,Feminist and Queer Activisms,,US,,,,,
AAS 283,,Asian American History,,US,,HP,,,
AAS 286,,Asian American Literature,,US,,LA,,,
AAS 287,,Food and Asian Americans,,US,,,,,SS
AAS 297,,Asian Families in America,,US,,,,,SS
AAS 310,,Race and Cultural Diversity,ACP,US,,,,,
AAS 402,,Asian American Education,ACP,US,,,,,
ACE 255,,Economics of Food and Environmental Justice,,US,,,,,SS
ACES 179,,History of Ag in IL Since 1860,,US,,HP,,,
ADV 175,,Diversity in Advertising,,US,,,,,
AFRO 100,,Intro to African American St,,US,,,,,SS
AFRO 101,,"Black America, 1619-Present",,US,,HP,,,
AFRO 103,,Black Women in the Diaspora,,US,,,,,
AFRO 105,,Black Literature in America,,US,,LA,,,
AFRO 106,,Hist Arch Americas,,US,,HP,,,
AFRO 122,,Russia and Black America,,US,,,,,
AFRO 132,,African American Music,,US,,LA,,,
AFRO 134,,"Religion, Race, and Resistance",,US,,,,,
AFRO 201,,US Racial & Ethnic Politics,,US,,,,,SS
AFRO 211,,Intro to African-American Film,,US,,,,,
AFRO 212,,Intro African American Theat,,US,,,,,
AFRO 215,,US Citizenship Comparatively,,US,,HP,,,
AFRO 224,,Humanist Persp of Afro-Am Exp,,US,,LA,,,
AFRO 228,,Hip Hop Music: History and Culture,,US,,LA,,,
AFRO 231,,Lang Diff Dis: American Persp,,US,,,,,
AFRO 234,,Black Religious Imaginations,,US,,,,,
AFRO 250,,Introduction to Health and Wellness in the Black Community,,US,,,,,SS
AFRO 259,,Early African American Literature and Culture,,US,,,,,
AFRO 260,,Modern African American Literature and Culture,,US,,,,,
AFRO 261,,Intro to the African Diaspora,,US,,HP,,,
AFRO 275,,Afro-American History to 1877,,US,,HP,,,
AFRO 276,,Afro-American Hist Since 1877,,US,,HP,,,
AFRO 281,,Constructing Race in America,,US,,HP,,,
AFRO 287,,African-American Women,,US,,HP,,,
AFRO 290,,Af Am Urban Hist Since 1917,,US,,HP,,,
AFRO 310,,Race and Cultural Diversity,ACP,US,,,,,
AFRO 340,,Dancing Black Popular Culture,ACP,US,,HP,,,
AFST 103,,Black Women in the Diaspora,,US,,,,,
AIS 101,,Intro to Amer Indian Studies,,US,,HP,,,
AIS 102,,Contemp Issues in Ind Country,,US,,,,,SS
AIS 140,,Native Religious Traditions,,US,,HP,,,
AIS 214,,American Indian Law & Politics,,US,,,,,SS
AIS 265,,Intro to American Indian Lit,,US,,LA,,,
AIS 275,,Am Indian and Indigenous Film,,US,,LA,,,
AIS 277,,Encounters in Native America,,US,,HP,,,
AIS 278,,Native American History,,US,,HP,,,
AIS 288,,American Indians of Illinois,,US,,HP,,,
AIS 295,,US Citizenship Comparatively,,US,,HP,,,
ANTH 106,,Hist Arch Americas,,US,,HP,,,
ANTH 160,,Race and Contemporary Social Issues,,US,,,,,
ANTH 259,,Latina/o Anthropology,,US,,,,,SS
ANTH 261,,Intro to the African Diaspora,,US,,HP,,,
ANTH 288,,American Indians of Illinois,,US,,HP,,,
CLCV 224,,American Race and Ethnicity in the Classical Tradition,,US,,LA,,,
CMN 214,,Organizational Communication & Diversity,,US,,,,,
CMN 250,,Social Movement Communication,,US,,,,,
CMN 277,,Introduction to Mediated Communication,,US,,,,,SS
CWL 122,,Russia and Black America,,US,,,,,
CWL 204,,US Border Literatures and Cultures,,US,,,,,
CWL 209,,Jewish American and US Minority Literatures in Dialogue,,US,,LA,,,
CWL 226,,Humanist Persp of Afro-Am Exp,,US,,LA,,,
CWL 259,,Early African American Literature and Culture,,US,,,,,
CWL 260,,Modern African American Literature and Culture,,US,,,,,
DANC 125,,Black Dances of Resistance,,US,,,,,
DANC 340,,Dancing Black Popular Culture,ACP,US,,HP,,,
EDUC 201,,Identity and Difference in Education,,US,,,,,
ENGL 150,,Black Literature in America,,US,,LA,,,
ENGL 222,,Jewish American and US Minority Literatures in Dialogue,,US,,LA,,,
ENGL 224,,Latina/o Popular Culture,,US,,,,,
ENGL 225,,Intro to Latina/o Literature,,US,,LA,,,
ENGL 259,,Early African American Literature and Culture,,US,,,,,
ENGL 260,,Modern African American Literature and Culture,,US,,,,,
ENGL 265,,Intro to American Indian Lit,,US,,LA,,,
ENGL 275,,Am Indian and Indigenous Film,,US,,LA,,,
ENGL 286,,Asian American Literature,,US,,LA,,,
ENGL 330,,Slavery and Identity,,US,,LA,,,
EPOL 310,,Race and Cultural Diversity,ACP,US,,,,,
EPOL 380,,Education and Social Justice,,US,,HP,,,
EPOL 402,,Asian American Education,ACP,US,,,,,
EPS 310,,Race and Cultural Diversity,ACP,US,,,,,
EPS 380,,Education and Social Justice,,US,,HP,,,
EPS 402,,Asian American Education,ACP,US,,,,,
EPSY 202,,Exploring Cultural Diversity,,US,,,,,
EPSY 222,,Language & Culture of Deaf Communities,,US,,,,,SS
ESE 254,,"People, Places, and Environments of the US",,US,,,,,SS
FAA 201,,Black Arts Today,,US,,LA,,,
FR 165,,French in US Minority Cultures,,US,,,,,
GGIS 254,,"People, Places, and Environments of the US",,US,,,,,SS
GLBL 130,,Resistance Movements,,US,,,,,
GWS 103,,Black Women in the Diaspora,,US,,,,,
GWS 215,,US Citizenship Comparatively,,US,,HP,,,
GWS 230,,Latina/o Genders & Sexualities,,US,,,,,
GWS 263,,History of Medicine in the United States,,US,,HP,,,
GWS 275,,The Politics of Fashion,,US,,,,,
GWS 282,,Feminist and Queer Activisms,,US,,,,,
GWS 285,,US Gender History to 1877,,US,,HP,,,
GWS 286,,US Gender History Since 1877,,US,,HP,,,
GWS 287,,African-American Women,,US,,HP,,,
GWS 382,,Black Women & Popular Culture,,US,,,,,
GWS 393,,Policing Latinx Immigrant Communities,,US,,,,,
HDFS 221,,Asian Families in America,,US,,,,,SS
HDFS 263,,"Diversity in Recreation, Sport, and Tourism",,US,,,,,
HDFS 322,,US Latina and Latino Families,,US,,,,,
HIST 104,,Black Music,,US,,HP,,,
HIST 170,,US History to 1877-ACP,ACP,US,,HP,,,
HIST 171,,US History to 1877,,US,,HP,,,
HIST 172,,US History Since 1877,,US,,HP,,,
HIST 173,,US History Since 1877-ACP,ACP,US,,HP,,,
HIST 174,,"Black America, 1619-Present",,US,,HP,,,
HIST 263,,History of Medicine in the United States,,US,,HP,,,
HIST 275,,Afro-American History to 1877,,US,,HP,,,
HIST 276,,Afro-American Hist Since 1877,,US,,HP,,,
HIST 277,,Encounters in Native America,,US,,HP,,,
HIST 278,,Native American History,,US,,HP,,,
