Course,Error Message,Meeting Days,Start Time,End Time,Meeting Type (Discussion Lecture etc),Section Notes,Section Text,Section Capp Area,XML Link
AAS 100,,F,09:00 AM,09:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/100/41758.xml
AAS 100,,F,10:00 AM,10:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/100/47100.xml
AAS 100,,F,10:00 AM,10:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/100/47102.xml
AAS 100,,F,11:00 AM,11:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/100/51248.xml
AAS 100,,F,11:00 AM,11:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/100/51249.xml
AAS 100,,F,12:00 PM,12:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/100/51932.xml
AAS 100,,F,01:00 PM,01:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/100/59818.xml
AAS 100,,F,02:00 PM,02:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/100/59819.xml
AAS 100,,F,01:00 PM,01:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/100/59820.xml
AAS 100,,F,02:00 PM,02:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/100/59821.xml
AAS 100,,MW,01:00 PM,01:50 PM,LEC,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/100/29646.xml
AAS 105,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AAS/105.xml
AAS 120,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AAS/120.xml
AAS 200,,TR,01:00 PM,02:20 PM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/200/67473.xml
AAS 201,,,ARRANGED,,ONL,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/201/71040.xml
AAS 201,,,ARRANGED,,ONL,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/201/71043.xml
AAS 201,,,ARRANGED,,ONL,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/201/74251.xml
AAS 211,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AAS/211.xml
AAS 215,,TR,11:00 AM,12:20 PM,LCD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/215/55765.xml
AAS 246,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AAS/246.xml
AAS 258,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AAS/258.xml
AAS 260,,TR,09:30 AM,10:50 AM,LBD,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/260/54352.xml
AAS 265,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AAS/265.xml
AAS 275,Error 404: Course not found,,,,,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/FALL/AAS/275.xml
AAS 281,,F,09:00 AM,09:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/281/71409.xml
AAS 281,,F,01:00 PM,01:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/281/71413.xml
AAS 281,,F,11:00 AM,11:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/281/71417.xml
AAS 281,,F,11:00 AM,11:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/281/75269.xml
AAS 281,,W,03:00 PM,03:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/281/75272.xml
AAS 281,,W,02:00 PM,02:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/281/75275.xml
AAS 281,,F,11:00 AM,11:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/281/78174.xml
AAS 281,,F,10:00 AM,10:50 AM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/281/78178.xml
AAS 281,,W,02:00 PM,02:50 PM,DIS,,,,https://courses.illinois.edu/cisapp/explorer/schedule/2023/fall/AAS/281/78182.xml
